"ItemCode","ItemName","Brand","Grade","Thickness","Width","Length","BatchNum","CoilNo","Quantity","WhsCode","Bin","GRPONo","GRPODate"
"CH000000000011","SAIL CHEQUERED COIL 3MMX1250","SAIL","IS3502/IS10748GRII","3.00","1250","","JW-009636","2656727/1415913","21.880000","38","38-A-SHED-A4-A5","987","2026-07-24"
"CH000000000011","SAIL CHEQUERED COIL 3MMX1250","SAIL","IS3502/IS10748GRII","3.00","1250","","JW-009637","2656854/1418686","21.920000","38","38-A-SHED-A4-A5","987","2026-07-24"
"CH000000000012","SAIL CHEQUERED COIL 8MMX1250","SAIL","IS3502/IS10748GRII","8.00","1250","2500","JW-009270","2655910/1405933","20.650000","38","38-A-SHED-A14-A15","747","2026-06-30"
"CH000000000014","SAIL CHEQUERED COIL 4MMX1250","SAIL","IS3502/IS10748GRII","4.00","1250","","JW-010278","2657318/1427695","21.920000","38","38-A-SHED-A20-A21","1294","2026-08-19"
"CH000000000014","SAIL CHEQUERED COIL 4MMX1250","SAIL","IS3502/IS10748GRII","4.00","1250","","JW-010279","2653115/1424960","20.940000","38","38-A-SHED-A6-A7","1294","2026-08-19"
"CH000000000014","SAIL CHEQUERED COIL 4MMX1250","SAIL","IS3502/IS10748GRII","4.00","1250","","JW-010280","2657317/1427703","22.040000","38","38-A-SHED-A1-A3","1295","2026-08-19"
"CH000000000047","SAIL CHEQUERED COIL 5MMX1500","SAIL","IS3502/IS10748GRII","5.00","1500","","JW-008966","2654380/1382372","15.920000","38","38-A-SHED-A13-A14","544","2026-06-11"
"HR000000000025","JSW HR COIL 16MMX2000","JSW","IS2062 E250 BR","16.00","2000","","JW-009551","26599074","28.300000","38","38-B-SHED-B2-B3","928","2026-07-20"
"HR000000000025","JSW HR COIL 16MMX2000","JSW","IS2062 E250 BR","16.00","2000","","JW-010367","26604073","31.040000","38","38-B-SHED-B2-B3","1339","2026-08-22"
"HR000000000074","JSW HR COIL 8MMX2000/E350BR","JSW","E350","8.00","2000","","JW-009774","26601585","31.220000","38","38-A-SHED-A7-A8","1087","2026-07-31"
"HR000000000133","SAIL HR COIL 8MMX1250","SAIL","E250","8.00","1250","","JW-008798","7654682 / NF016705","11.470000","38","38-A-SHED-A6-A7","445","2026-05-30"
"HR000000000181","JSW HR COIL 8MMX2000","JSW","IS2062 E250A","8.00","2000","","JW-009449","26588563","31.100000","38","38-A-SHED-A13-A14","873","2026-07-17"
"HR000000000181","JSW HR COIL 8MMX2000","JSW","IS2062 E250A","8.00","2000","","JW-009692","26604087","26.730000","38","38-B-SHED-B3-B4","1029","2026-07-29"
"HR000000000267","SAIL HR COIL 12MMX2000","SAIL","E250","12.00","2000","","JW-010355","2614041 / NF047735","31.830000","38","38-A-SHED-A5-A6","1331","2026-08-21"
"HR000000000267","SAIL HR COIL 12MMX2000","SAIL","E250","12.00","2000","","JW-010356","2614034 / NF047492","32.180000","38","38-A-SHED-A4-A5","1332","2026-08-21"
"HR000000000315","SAIL HR COIL 6MMX2000/E350BR","SAIL","E350","6.00","2000","","JW-009556","2611543/NF031407","21.987000","38","38-A-SHED-A6-A7","932","2026-07-21"
"HR000000000317","SAIL HR COIL 10MMX1500/E350C","SAIL","IS2062 E350C","10.00","1500","","JW-006596","2516731/NE068398","21.530000","38","38-A-SHED-A23-A24","2610","2025-12-31"
