ItemCode,ItemName,BatchNum,OwnerCode,Owner,Quantity,InDate,AgeDays
JW000000000071,JSW HR COIL 14.3X1550 WIR025,26584669/G2036281,BSV01373,WHEELS INDIA LIMITED (VENDOR),28.605000,2026-08-29,28
JW000000000018,HYUNDAI HR COIL 14.3X1240 WIR006,JW-009095,BSV01373,WHEELS INDIA LIMITED (VENDOR),25.970000,2026-06-18,100
JW000000000143,WUHAN HR COIL 16X1210 WIR006,JW-009922,BSV01373,WHEELS INDIA LIMITED (VENDOR),24.869000,2026-08-08,49
JW000000000160,WUHAN HR COIL 14.3X1190 WIR006,JW-010746,BSV01373,WHEELS INDIA LIMITED (VENDOR),24.745000,2026-09-01,25
JW000000000142,WUHAN HR COIL 14.3X1240 WIR006,JW-009931,BSV01373,WHEELS INDIA LIMITED (VENDOR),24.670000,2026-08-10,47
JW000000000141,WUHAN HR COIL 12.4X1250 WIR006,JW-009932,BSV01373,WHEELS INDIA LIMITED (VENDOR),24.650000,2026-08-10,47
JW000000000137,WUHAN HR COIL 12.1X1270 WIR006,JW-010751,BSV01373,WHEELS INDIA LIMITED (VENDOR),24.640000,2026-09-02,24
JW000000000161,WUHAN HR COIL 18X1260 WIR006,JW-010748,BSV01373,WHEELS INDIA LIMITED (VENDOR),24.630000,2026-09-02,24
JW000000000142,WUHAN HR COIL 14.3X1240 WIR006,JW-010752,BSV01373,WHEELS INDIA LIMITED (VENDOR),24.630000,2026-09-02,24
JW000000000138,WUHAN HR COIL 18.8X1260 WIR006,JW-009933,BSV01373,WHEELS INDIA LIMITED (VENDOR),24.590000,2026-08-10,47
JW000000000138,WUHAN HR COIL 18.8X1260 WIR006,JW-009940,BSV01373,WHEELS INDIA LIMITED (VENDOR),24.442000,2026-08-10,47
HR000000001020,JSW HR COIL 16MMX1190 WIR006,26585756/A598802,,,23.770000,2026-08-20,37
HR000000001020,JSW HR COIL 16MMX1190 WIR006,26585757/A598802,,,23.545000,2026-08-20,37
JW000000000172,JSW HR COIL 15.6X1270 WIR006,26621207,BSV01373,WHEELS INDIA LIMITED (VENDOR),23.440000,2026-09-07,19
JW000000000086,AMNS HR COIL 12.4X1250  WIR006,NH9245/J86726,BSV01373,WHEELS INDIA LIMITED (VENDOR),22.805000,2026-08-28,29
JW000000000114,AMNS HR COIL 12.1X1270 WIR006,NI4135/S38428,BSV01373,WHEELS INDIA LIMITED (VENDOR),22.745000,2026-08-24,33
JW000000000130,AMNS HR COIL 18.8X1260  WIR006,NH1780,,,22.635000,2026-07-30,58
JW000000000123,AMNS HR PLATE 12.4X1250X3750  WIR006,NG9535/R35149-A,BSV01373,WHEELS INDIA LIMITED (VENDOR),21.347000,2026-09-24,2
JW000000000074,AMNS HR COIL 16X1190 WIR006,NI2824,,,21.270000,2026-08-28,29
JW000000000074,AMNS HR COIL 16X1190 WIR006,NI2823/R35463,,,21.265000,2026-08-28,29
JW000000000074,AMNS HR COIL 16X1190 WIR006,NI2822,,,21.205000,2026-08-28,29
JW000000000076,AMNS HR COIL 12.1X1190 WIR006,NI2818/R35462,BSV01373,WHEELS INDIA LIMITED (VENDOR),21.125000,2026-08-17,40
JW000000000108,JSW HR COIL 8.2X1060 WIR006,26592946/D2037594,BSV01373,WHEELS INDIA LIMITED (VENDOR),20.890000,2026-07-10,78
