Kind,CardName,ProcessType,Yr,Mth,Qty,Value,Docs,OpenQty
Invoice,SHAROFF STEEL SUPPLIERS(JW),CTL,2025,4,73.621300,35324.920000,6,0.000000
Invoice,SHAROFF STEEL SUPPLIERS(JW),CTL,2025,5,64.340000,31083.000000,4,0.000000
Invoice,ROJA STEELS,,2025,12,94.550000,47275.000000,4,0.000000
Invoice,ROJA STEELS,,2026,1,20.810000,10405.000000,1,0.000000
Invoice,ROJA STEELS,,2026,3,62.785000,31392.500000,1,0.000000
Invoice,WHEELS INDIA LIMITED (CUSTOMER),CTL,2026,3,55.730000,49613.730000,4,0.000000
Delivery,WHEELS INDIA LIMITED (CUSTOMER),CTL,2026,4,188.847000,234168.930000,14,0.833200
Invoice,WHEELS INDIA LIMITED (CUSTOMER),CTL,2026,4,538.313000,552032.230000,33,0.000000
Delivery,WHEELS INDIA LIMITED (CUSTOMER),CTL,2026,5,307.690100,410848.630000,31,22.432900
Invoice,WHEELS INDIA LIMITED (CUSTOMER),CTL,2026,5,285.257200,406511.890000,17,0.000000
Delivery,WHEELS INDIA LIMITED (CUSTOMER),CTL,2026,6,508.264200,619162.650000,41,21.419000
Delivery,CRAYON ROOFINGS & STRUCTURES,CTL,2026,6,2.085000,4170.000000,1,0.000000
Delivery,SALEM STAINLESS STEEL SUPPLIERS (P) LTD.,CTL,2026,6,5.055000,8088.000000,1,0.000000
Invoice,SALEM STAINLESS STEEL SUPPLIERS (P) LTD.,CTL,2026,6,5.055000,8088.000000,1,0.000000
Invoice,CRAYON ROOFINGS & STRUCTURES,CTL,2026,6,2.085000,4170.000000,1,0.000000
Invoice,WHEELS INDIA LIMITED (CUSTOMER),CTL,2026,6,521.188200,638270.230000,28,0.000000
Delivery,WHEELS INDIA LIMITED (CUSTOMER),CTL,2026,7,662.451000,740198.540000,63,17.836000
Invoice,WHEELS INDIA LIMITED (CUSTOMER),CTL,2026,7,644.615000,740180.650000,48,0.000000
Delivery,WHEELS INDIA LIMITED (CUSTOMER),CTL,2026,8,587.041000,640349.430000,62,29.101000
Invoice,WHEELS INDIA LIMITED (CUSTOMER),CTL,2026,8,577.080000,667570.270000,51,0.000000
Delivery,WHEELS INDIA LIMITED (CUSTOMER),CTL,2026,9,621.521000,827191.030000,67,24.531000
Delivery,WHEELS INDIA LIMITED (CUSTOMER),SLIT,2026,9,25.510000,17754.960000,1,0.000000
Delivery,CRAYON ROOFINGS & STRUCTURES,CTL,2026,9,2.450000,6125.000000,1,0.000000
Invoice,CRAYON ROOFINGS & STRUCTURES,CTL,2026,9,2.450000,6125.000000,1,0.000000
Invoice,WHEELS INDIA LIMITED (CUSTOMER),CTL,2026,9,611.030000,841002.280000,55,0.000000
Invoice,WHEELS INDIA LIMITED (CUSTOMER),SLIT,2026,9,25.510000,17754.960000,1,0.000000
