Yr,Mth,Kind,CardName,InQty,OutQty,Lines
2025,4,13,SHAROFF STEEL SUPPLIERS(JW),0.000000,73.621300,11
2025,4,Issued to process (GI),WIP - Jobwork,0.000000,73.621300,17
2025,4,Processed (GR),WIP - Jobwork,73.621300,0.000000,17
2025,4,Received (GRPO),SHAROFF STEEL SUPPLIERS,20.765000,0.000000,1
2025,5,13,SHAROFF STEEL SUPPLIERS(JW),0.000000,64.340000,5
2025,5,Issued to process (GI),WIP - Jobwork,0.000000,64.340000,11
2025,5,Processed (GR),WIP - Jobwork,64.340000,0.000000,11
2025,5,Received (GRPO),SHAROFF STEEL SUPPLIERS,42.690000,0.000000,2
2025,7,13,SHAROFF STEEL SUPPLIERS(JW),0.000000,20.920000,1
2025,7,Issued to process (GI),WIP - Jobwork,0.000000,20.920000,4
2025,7,Processed (GR),WIP - Jobwork,20.920000,0.000000,4
2025,11,Received (GRPO),ROJA STEELS,178.145000,0.000000,8
2025,12,13,ROJA STEELS,0.000000,94.550000,4
2025,12,Issued to process (GI),WIP - Jobwork,0.000000,94.550000,6
2025,12,Processed (GR),WIP - Jobwork,94.550000,0.000000,6
2026,1,13,ROJA STEELS,0.000000,20.810000,1
2026,1,Issued to process (GI),WIP - Jobwork,0.000000,20.810000,4
2026,1,Processed (GR),WIP - Jobwork,20.810000,0.000000,4
2026,3,13,ROJA STEELS,0.000000,62.785000,3
2026,3,13,WHEELS INDIA LIMITED (CUSTOMER),0.000000,55.730000,5
2026,3,Issued to process (GI),Stock Regrouping,0.000000,45.529500,4
2026,3,Issued to process (GI),WIP - Jobwork,0.000000,132.430000,20
2026,3,Processed (GR),Stock Regrouping,36.403000,0.000000,4
2026,3,Processed (GR),WIP - Jobwork,121.175000,0.000000,19
2026,3,Received (GRPO),WHEELS INDIA LIMITED (VENDOR),449.350000,0.000000,18
2026,3,Received (Transfer),,20.381500,0.000000,2
2026,3,Received (Transfer),BHARAT STEEL (CHENNAI) PRIVATE LIMITED (CHENNAI),23.270000,0.000000,1
2026,4,Dispatched (Delivery),WHEELS INDIA LIMITED (CUSTOMER),49.370000,610.759200,81
2026,4,Issued to process (GI),Stock Regrouping,0.000000,237.434800,27
2026,4,Issued to process (GI),WIP - Jobwork,0.000000,567.465000,94
2026,4,Processed (GR),Stock Regrouping,257.811100,0.000000,33
2026,4,Processed (GR),WIP - Jobwork,547.088700,0.000000,95
2026,4,Received (GRPO),WHEELS INDIA LIMITED (VENDOR),368.745000,0.000000,17
