Category,ItemGroup,ItemCode,ItemName,CardName,Yr,Mth,Qty,Value,Docs
1. SAIL HR,SAIL H.R.PLATE,HR000000000168,SAIL HR PLATE 8X1500X6300MM,STEEL AUTHORITY OF INDIA LTD - PLATE  (SAP CODE 1000138599),2025,4,63.520000,3371641.600000,2
1. SAIL HR,SAIL H.R.PLATE,HR000000000197,SAIL HR PLATE 5X1500X6300MM,STEEL AUTHORITY OF INDIA LTD - PLATE  (SAP CODE 1000138599),2025,4,27.520000,1465651.600000,2
1. SAIL HR,SAIL HR COIL,HR000000000081,SSP HR COIL 10MMX1250,STEEL AUTHORITY OF INDIA LTD - PLATE  (SAP CODE 1000138599),2025,4,122.940000,6208470.000000,6
1. SAIL HR,SAIL HR COIL,HR000000000087,SSP HR COIL 12MMX1250,STEEL AUTHORITY OF INDIA LTD - PLATE  (SAP CODE 1000138599),2025,4,122.890000,6205945.000000,6
1. SAIL HR,SAIL HR COIL,HR000000000092,SSP HR COIL 2.5MMX1250,STEEL AUTHORITY OF INDIA LTD - PLATE  (SAP CODE 1000138599),2025,4,30.525000,1541512.500000,2
1. SAIL HR,SAIL HR COIL,HR000000000110,SSP HR COIL 3MMX1250,STEEL AUTHORITY OF INDIA LTD - PLATE  (SAP CODE 1000138599),2025,4,77.300000,3903650.000000,4
1. SAIL HR,SAIL HR COIL,HR000000000111,SSP HR COIL 4MMX1250/E350BR,STEEL AUTHORITY OF INDIA LTD - PLATE  (SAP CODE 1000138599),2025,4,15.375000,814875.000000,1
1. SAIL HR,SAIL HR COIL,HR000000000117,SSP HR COIL 6MMX1250,STEEL AUTHORITY OF INDIA LTD - PLATE  (SAP CODE 1000138599),2025,4,107.965000,5452232.500000,7
1. SAIL HR,SAIL HR COIL,HR000000000119,SAIL HR COIL 5MMX1500,STEEL AUTHORITY OF INDIA LTD - PLATE  (SAP CODE 1000138599),2025,4,64.940000,3403772.960000,1
1. SAIL HR,SAIL HR COIL,HR000000000120,SSP HR COIL 5MMX1250,STEEL AUTHORITY OF INDIA LTD - PLATE  (SAP CODE 1000138599),2025,4,31.330000,1582165.000000,2
