ItemCode,ItemName,ItemGroup,Category,WhsCode,WhsName,OnHand,Committed,OnOrder,Grade,Thickness,Width,Length
NMDC000000000029,NMDC HR COIL 2MMX1250,SAIL H.R.PLATE,1. SAIL HR,07,Salem Warehouse,124.200000,0.000000,0.000000,E250,2.000000,1250.000000,
NMDC000000000085,NMDC HR COIL 4.5MMX1250,SAIL H.R.PLATE,1. SAIL HR,07,Salem Warehouse,62.740000,0.000000,0.000000,E250,4.500000,1250.000000,
NMDC000000000006,NMDC HR COIL 8MMX1500,SAIL H.R.PLATE,1. SAIL HR,07,Salem Warehouse,41.490000,6.700000,0.000000,E250,8.000000,1500.000000,
NMDC000000000081,NMDC HR COIL 4MMX1500 E350,SAIL H.R.PLATE,1. SAIL HR,07,Salem Warehouse,20.840000,0.000000,0.000000,E350,4.000000,1500.000000,
HR000000000087,SSP HR COIL 12MMX1250,SAIL H.R.PLATE,1. SAIL HR,07,Salem Warehouse,1.160000,7.448000,0.000000,E250,12.000000,1250.000000,
HR000000000130,SSP HR COIL 8MMX1250,SAIL H.R.PLATE,1. SAIL HR,07,Salem Warehouse,0.220000,15.895000,31.205000,E250,8.000000,1250.000000,
MS000000000043,SAIL NPB 200x100X6.2MM(25kgs)-E350,SAIL STRUCTURAL,2. SAIL STRUCTURALS,11,Chennai Warehouse,283.548000,18.720000,98.850000,IS2062 E250 BR,6.200000,0.000000,0.000000
MS000000000116,VIZAG MS CHANNEL 75X40MM,RINL STRL,4. RINL STRL,11,Chennai Warehouse,273.680000,20.472000,64.750000,IS2062 E250 A,75.000000,40.000000,12000.000000
TMT000000000077,VIZAG TMT REBARS FE550D 32MM,RINL TMT,3. RINL TMT,11,Chennai Warehouse,269.930000,8.405000,62.960000,FE550D,32.000000,0.000000,12000.000000
MS000000000031,SAIL MS CHANNEL 125X65MM,SAIL STRUCTURAL,2. SAIL STRUCTURALS,11,Chennai Warehouse,242.009000,15.788000,1333.920000,IS2062 E250 BR,,125.000000,12000.000000
HRC000000000033,HR SHEET 02X1250X2500XE250,HR Coil,1. SAIL HR,11,Chennai Warehouse,234.800000,129.980000,33.660100,E250,2.000000,1250.000000,2500.000000
MS000000000119,SAIL NPB 300X150X7.1MM(42.25kg)-E250,SAIL STRUCTURAL,2. SAIL STRUCTURALS,11,Chennai Warehouse,227.320000,53.104000,3570.260000,IS2062 E250 BR,7.100000,0.000000,0.000000
MS000000000117,SAIL NPB 400X180X8.6MM(66.31kg)-E250,SAIL STRUCTURAL,2. SAIL STRUCTURALS,11,Chennai Warehouse,204.860000,207.418000,4079.529000,IS2062 E250 BR,6.800000,0.000000,0.000000
MS000000000071,VIZAG MS CHANNEL 200X75MM,RINL STRL,4. RINL STRL,11,Chennai Warehouse,151.528000,11.224000,10.100000,IS2062 E250 A,200.000000,75.000000,12000.000000
RS000000000002,SAIL RS JOISTS 150X75MM,SAIL STRUCTURAL,2. SAIL STRUCTURALS,11,Chennai Warehouse,130.360000,65.390000,1359.587000,IS2062 E250 BR,,150.000000,12000.000000
MS000000000129,SAIL NPB 450X190X9.4MM(77.58kg)-E250,SAIL STRUCTURAL,2. SAIL STRUCTURALS,11,Chennai Warehouse,112.200000,51.556000,2912.120000,IS2062 E250 BR,9.400000,0.000000,0.000000
MS000000000156,SAIL NPB 600x220X12 MM(122.45kg)-E250,SAIL STRUCTURAL,2. SAIL STRUCTURALS,11,Chennai Warehouse,111.250000,30.435000,573.000000,IS2062 E250 BR,12.000000,0.000000,0.000000
MS000000000138,SAIL NPB 350X170X(50.22kg)-E250,SAIL STRUCTURAL,2. SAIL STRUCTURALS,11,Chennai Warehouse,110.118000,17.768000,484.080000,IS2062 E250 BR,,0.000000,0.000000
MS000000000069,VIZAG MS CHANNEL 125X65MM,RINL STRL,4. RINL STRL,11,Chennai Warehouse,109.760000,20.699000,1.320000,IS2062 E250 A,125.000000,65.000000,12000.000000
TMT000000000075,VIZAG TMT REBARS FE550D 20MM,RINL TMT,3. RINL TMT,11,Chennai Warehouse,104.945000,85.693000,114.990000,FE550D,20.000000,0.000000,12000.000000
RS000000000005,SAIL RS JOISTS 300X140MM,SAIL STRUCTURAL,2. SAIL STRUCTURALS,11,Chennai Warehouse,102.000000,53.874000,4309.953000,IS2062 E250 BR,,300.000000,12000.000000
MS000000000120,SAIL NPB 500X200X10.2MM(90.69kg)-E250,SAIL STRUCTURAL,2. SAIL STRUCTURALS,11,Chennai Warehouse,100.500000,40.247000,1840.400000,IS2062 E250 BR,10.200000,0.000000,0.000000
MS000000000059,VIZAG MS ANGLE 50X50X6MM,RINL STRL,4. RINL STRL,11,Chennai Warehouse,99.978000,24.456000,105.800000,IS2062 E250 A,6.000000,50.000000,12000.000000
MS000000000068,VIZAG MS CHANNEL 100X50MM,RINL STRL,4. RINL STRL,11,Chennai Warehouse,90.228000,31.141000,55.740000,IS2062 E250 A,100.000000,50.000000,12000.000000
MS000000000021,SAIL MS ANGLE 65X65X6MM,SAIL STRUCTURAL,2. SAIL STRUCTURALS,11,Chennai Warehouse,89.382000,35.449000,2270.775000,IS2062 E250 BR,6.000000,50.000000,12000.000000
TMT000000000071,VIZAG TMT REBARS FE550D 16MM,RINL TMT,3. RINL TMT,11,Chennai Warehouse,87.511000,167.368000,39.470000,FE550D,16.000000,0.000000,12000.000000
HRC000000000039,HR SHEET 3.8X1250X2500XE250,HR Coil,1. SAIL HR,11,Chennai Warehouse,87.147000,47.296000,0.001000,E250,3.800000,1250.000000,2500.000000
OTH000000000149,TMT-REBARS,OTHERS,8. OTHERS,11,Chennai Warehouse,86.490000,27.284000,203.280000,IS2062,0.000000,0.000000,0.000000
OTH000000000152,TMT-REBARS 20MM,OTHERS,8. OTHERS,11,Chennai Warehouse,82.930000,18.500000,66.010000,IS2062,0.000000,0.000000,0.000000
HRC000000000042,HR SHEET 4.8X1250X2500XE250,HR Coil,1. SAIL HR,11,Chennai Warehouse,78.995000,28.890000,0.000100,E250,4.800000,1250.000000,2500.000000
OTH000000000151,TMT-REBARS 16MM,OTHERS,8. OTHERS,11,Chennai Warehouse,66.750000,43.789000,24.040000,IS2062,0.000000,0.000000,0.000000
TMT000000000097,VIZAG TMT REBARS 12MM  FE550D STRAIGHT,RINL TMT,3. RINL TMT,11,Chennai Warehouse,66.140000,49.240000,63.060000,FE550D,12.000000,0.000000,12000.000000
MS000000000035,SAIL MS CHANNEL 200X75MM,SAIL STRUCTURAL,2. SAIL STRUCTURALS,11,Chennai Warehouse,64.490000,91.685000,2968.289000,IS2062 E250 BR,,200.000000,12000.000000
MS000000000038,SAIL MS CHANNEL 400X100MM,SAIL STRUCTURAL,2. SAIL STRUCTURALS,11,Chennai Warehouse,63.940000,10.211000,1531.070000,IS2062 E250BR,,400.000000,12000.000000
HRC000000000073,HR PLATE 08X2000X6300XE250,HR Coil,1. SAIL HR,11,Chennai Warehouse,63.624000,55.102000,63.040000,E250,8.000000,2000.000000,6300.000000
MS000000000024,SAIL MS ANGLES 75X75X6MM,SAIL STRUCTURAL,2. SAIL STRUCTURALS,11,Chennai Warehouse,56.620000,57.217000,1543.765000,IS2062 E250 BR,6.000000,75.000000,12000.000000
RS000000000004,SAIL RS JOISTS 250X125MM,SAIL STRUCTURAL,2. SAIL STRUCTURALS,11,Chennai Warehouse,55.530000,153.474000,5570.564000,IS2062 E250 BR,,250.000000,12000.000000
HRC000000000053,HR PLATE 06X1500X6300XE250,HR Coil,1. SAIL HR,11,Chennai Warehouse,52.652000,44.686000,20.155000,E250,6.000000,1500.000000,6300.000000
MS000000000070,VIZAG MS CHANNEL 150X75MM,RINL STRL,4. RINL STRL,11,Chennai Warehouse,52.080000,49.630000,63.480000,IS2062 E250 A,150.000000,75.000000,12000.000000
TMT000000000064,SAIL TMT BAR SAILSEQR IS1786 550D 12MM,SAIL TMT - SEQR,7. SAIL TMT,11,Chennai Warehouse,47.715000,0.070000,4789.546000,FE550D,12.000000,0.000000,12000.000000
OTH000000000218,MS  SCRAP,OTHERS,8. OTHERS,11,Chennai Warehouse,46.409000,29.833900,0.000000,IS2062,1.000000,1.000000,0.000000
