"ItemCode","ItemName","Brand","Grade","Thickness","Width","Length","TotalQty","TotalNos"
"HRC000000000001","CHEQUERED SHEET 03X1250X2500XE250","OTHER","IS3502/IS10748GRII","3.000000","1250.000000","2500.000000","5.891000","100.000000"
"HRC000000000003","CHEQUERED SHEET 04X1250X2500XE250","OTHER","IS3502/IS10748GRII","4.000000","1250.000000","2500.000000","4.461000","57.000000"
"HRC000000000004","CHEQUERED SHEET 04X1250X3050XE250","OTHER","E250","4.000000","1250.000000","3050.000000","0.082000","1.000000"
"HRC000000000005","CHEQUERED PLATE 05X1250X2500XE250","OTHER","IS3502/IS10748GRII","5.000000","1250.000000","2500.000000","18.806000","163.000000"
"HRC000000000006","CHEQUERED PLATE 05X1250X6300XE250","OTHER","IS3502/IS10748GRII","5.000000","1250.000000","6300.000000","7.067000","20.000000"
"HRC000000000007","CHEQUERED PLATE 05X1250X5000XE250","OTHER","IS3502/IS10748GRII","5.000000","1250.000000","5000.000000","0.190000","1.000000"
"HRC000000000008","CHEQUERED PLATE 06X1250X2500XE250","OTHER","IS3502/IS10748GRII","6.000000","1250.000000","2500.000000","0.000000","93.000000"
"HRC000000000009","CHEQUERED PLATE 06X1250X6300XE250","OTHER","IS3502/IS10748GRII","6.000000","1250.000000","6300.000000","15.250000","22.000000"
"HRC000000000011","CHEQUERED PLATE 08X1250X2500XE250","OTHER","IS3502/IS10748GRII","8.000000","1250.000000","2500.000000","11.438000","59.000000"
"HRC000000000012","CHEQUERED PLATE 08X1250X6300XE250","OTHER","IS3502/IS10748GRII","8.000000","1250.000000","6300.000000","9.892000","19.000000"
"HRC000000000013","CHEQUERED PLATE 10X1250X2500XE250","OTHER","E250","10.000000","1250.000000","2500.000000","0.740000","3.000000"
"HRC000000000014","CHEQUERED PLATE 10X1250X6300XE250","OTHER","E250","10.000000","1250.000000","6300.000000","0.638000","1.000000"
"HRC000000000016","HR SHEET 03X1250X2500XE250","OTHER","E250","3.000000","1250.000000","2500.000000","25.638000","1294.000000"
"HRC000000000018","HR SHEET 04X1250X2500XE250","OTHER","E250","4.000000","1250.000000","2500.000000","0.324000","14.000000"
"HRC000000000020","HR PLATE 05X1250X2500XE250","OTHER","E250","5.000000","1250.000000","2500.000000","4.768000","38.000000"
"HRC000000000021","HR PLATE 05X1250X5000XE250","OTHER","E250","5.000000","1250.000000","5000.000000","1.400000","6.000000"
"HRC000000000022","HR PLATE 05X1250X6300XE250","OTHER","E250","5.000000","1250.000000","6300.000000","23.067000","439.000000"
"HRC000000000023","HR PLATE 06X1250X2500XE250","OTHER","E250","6.000000","1250.000000","2500.000000","5.479000","39.000000"
"HRC000000000025","HR PLATE 06X1250X6300XE250","OTHER","E250","6.000000","1250.000000","6300.000000","40.150000","108.000000"
"HRC000000000026","HR PLATE 08X1250X2500XE250","OTHER","E250","8.000000","1250.000000","2500.000000","9.700000","50.000000"
"HRC000000000028","HR PLATE 08X1250X6300XE250","OTHER","E250","8.000000","1250.000000","6300.000000","40.373000","119.000000"
"HRC000000000029","HR PLATE 10X1250X2500XE250","OTHER","E250","10.000000","1250.000000","2500.000000","46.988000","205.000000"
"HRC000000000031","HR PLATE 10X1250X6300XE250","OTHER","E250","10.000000","1250.000000","6300.000000","5.056000","98.000000"
"HRC000000000033","HR SHEET 02X1250X2500XE250","OTHER","E250","2.000000","1250.000000","2500.000000","234.800000","8790.000000"
"HRC000000000035","HR SHEET 2.5X1250X2500XE250","OTHER","E250","2.500000","1250.000000","2500.000000","7.898000","128.000000"
"HRC000000000039","HR SHEET 3.8X1250X2500XE250","OTHER","E250","3.800000","1250.000000","2500.000000","87.147000","1226.000000"
"HRC000000000042","HR SHEET 4.8X1250X2500XE250","OTHER","E250","4.800000","1250.000000","2500.000000","78.995000","781.000000"
"HRC000000000043","HR SHEET 4.8X1500X2500XE250","OTHER","E250","4.800000","1500.000000","2500.000000","0.711000","5.000000"
"HRC000000000044","HR PLATE 05X1500X6300XE250","OTHER","E250","5.000000","1500.000000","6300.000000","79.962000","283.000000"
"HRC000000000045","HR PLATE 05X2000X6300XE250","OTHER","E250","5.000000","2000.000000","6300.000000","1.523000","3.000000"
"HRC000000000048","HR PLATE 05X1250X6300XE350","OTHER","E350","5.000000","1250.000000","6300.000000","2.797000","7.000000"
"HRC000000000049","HR PLATE 05X1500X6300XE350","OTHER","E350","5.000000","1500.000000","6300.000000","26.145000","71.000000"
"HRC000000000051","HR PLATE 5.8X1250X2500XE250","OTHER","E250","5.800000","1250.000000","2500.000000","11.298000","94.000000"
"HRC000000000052","HR PLATE 5.8X1500X2500XE250","OTHER","E250","5.800000","1500.000000","2500.000000","6.659000","39.000000"
"HRC000000000053","HR PLATE 06X1500X6300XE250","OTHER","E250","6.000000","1500.000000","6300.000000","46.792000","149.000000"
"HRC000000000054","HR PLATE 06X2000X6300XE250","OTHER","E250","6.000000","2000.000000","6300.000000","23.365000","39.000000"
"HRC000000000057","HR PLATE 06X1250X6300XE350","OTHER","E350","6.000000","1250.000000","6300.000000","1.662000","4.000000"
"HRC000000000058","HR PLATE 06X1500X6300XE350","OTHER","E350","6.000000","1500.000000","6300.000000","4.447000","9.000000"
"HRC000000000070","HR PLATE 7.8X1250X2500XE250","OTHER","E250","7.800000","1250.000000","2500.000000","0.004000","-6.000000"
"HRC000000000071","HR PLATE 7.8X1500X2500XE250","OTHER","E250","7.800000","1500.000000","2500.000000","3.847000","15.000000"
"HRC000000000072","HR PLATE 08X1500X6300XE250","OTHER","E250","8.000000","1500.000000","6300.000000","37.611000","95.000000"
"HRC000000000073","HR PLATE 08X2000X6300XE250","OTHER","E250","8.000000","2000.000000","6300.000000","41.324000","52.000000"
"HRC000000000075","HR PLATE 08X1250X5000XE350","OTHER","E350","8.000000","1250.000000","5000.000000","0.395000","1.000000"
"HRC000000000076","HR PLATE 08X1250X6300XE350","OTHER","E350","8.000000","1250.000000","6300.000000","2.981000","6.000000"
"HRC000000000077","HR PLATE 08X1500X6300XE350","OTHER","E350","8.000000","1500.000000","6300.000000","29.844000","22.000000"
