ItemCode,ItemName,ItemGroup,OwnerCode,OwnerName,BatchNum,CoilNo,Mothercoil,Grade,Thick,Width,Length,Quantity,BatchCount,AgeDays
RDU000000000122,AMNS HR  BLANKS/FLATS 16X1190 SCRAP  WIR006,HR Coil,,,NI2821/R35462-A-B,NI2821/R35462,NI2821/R35462-A,WIR006,16.000000,1190.000000,,2.815000,2,3
JW000000000076,AMNS HR COIL 12.1X1190 WIR006,HR Coil,,,NI2818/R35462,NI2818/R35462,,WIR006,12.100000,1190.000000,,21.125000,1,39
JW000000000114,AMNS HR COIL 12.1X1270 WIR006,HR Coil,,,NI4135/S38428,NI4135/S38428,,WIR006,12.100000,1270.000000,,22.745000,1,32
JW000000000086,AMNS HR COIL 12.4X1250  WIR006,HR Coil,,,NH9245/J86726,NH9245/J86726,,WIR006,12.400000,1250.000000,,22.805000,1,28
JW000000000074,AMNS HR COIL 16X1190 WIR006,HR Coil,,,NI2824,NI2824/R35462,,WIR006,16.000000,1190.000000,,63.740000,3,28
JW000000000130,AMNS HR COIL 18.8X1260  WIR006,HR Coil,,,NH1780,NH1780/R34533,,WIR006,18.800000,1260.000000,,22.635000,1,57
JW000000000123,AMNS HR PLATE 12.4X1250X3750  WIR006,HR Coil,,,NG9535/R35149-A,NG9535/R35149,NG9535/R35149,WIR006,12.400000,1250.000000,3750.000000,21.554000,2,1
JW000000000124,AMNS HR PLATE 12.4X1250XCTL  WIR006,HR Coil,,,NG9535/R35149-B,NG9535/R35149,NG9535/R35149,WIR006,12.400000,1250.000000,,0.746000,2,1
JW000000000051,AMNS HR PLATE 15.6X1270X3308 WIR006,HR Coil,,,NI8810-A,NI8810/P39391,NI8810,WIR006,15.600000,1270.000000,3308.000000,22.575000,1,0
JW000000000182,AMNS HR PLATE 18.8X1260X3796 WIR006,HR Coil,,,NH0913-A,NH0913/S37770,NH0913,WIR006,18.800000,1260.000000,3796.000000,21.993000,1,9
JW000000000166,AMNS HR PLATE 18.8X1260XCTL WIR006,HR Coil,,,NH0913-B,NH0913/S37770,NH0913,WIR006,18.800000,1260.000000,,0.117000,1,9
RDU000000000121,AMNS HR PRIME BLANKS/FLATS 16X125X2830 WIR006,HR Coil,,,NI2820/R35462-A-A,NI2820/R35462,NI2820/R35462-A,WIR006,16.000000,125.000000,2830.000000,14.460000,1,3
RDU000000000070,HYUNDAI HR  BLANKS/FLATS 12.4X1250 SCRAP  WIR006,HR Coil,,,JW-009079-C,CRE30310/V80825,JW-009079,WIR006,12.400000,1250.000000,,0.031000,1,34
RDU000000000168,HYUNDAI HR  BLANKS/FLATS 14.3X1240 SCRAP  WIR006,HR Coil,,,JW-009094-B-B,CRE29830/V80829,JW-009094-B,WIR006,14.300000,1240.000000,,0.081000,1,24
JW000000000018,HYUNDAI HR COIL 14.3X1240 WIR006,HR Coil,,,JW-009095,CRE49640/V80829,,WIR006,14.300000,1240.000000,,25.970000,1,99
RDU000000000192,JSOL HR BLANKS/FLATS 18X1260 SCRAP WIR006,HR Coil,,,2611690021-B-B,2611690021/F64528,2611690021-B,WIR006,18.000000,1260.000000,,2.048000,2,4
JW000000000153,JSOL HR COIL 11.2X1250 WIR006,HR Coil,,,2611690026/F64530,2611690026/F64530,,WIR006,11.200000,1250.000000,,40.540000,2,30
JW000000000151,JSOL HR COIL 14.3X1190 WIR006,HR Coil,,,JW-010547,2611690045/F64533,,WIR006,14.300000,1190.000000,,61.496000,3,29
